No.,Word,Pinyin,POS,Topic,Definition,HSK Level
702,见面,jiànmiàn,动词,人际交往,to meet; to see each other,HSK 3.0 Level 3
703,讲,jiǎng,动词,职场与教育,to speak; to explain; to tell,HSK 3.0 Level 3
704,角,jiǎo,量词,语法功能词,dime; ten cents; corner,HSK 3.0 Level 3
705,脚,jiǎo,名词,健康与运动,foot,HSK 3.0 Level 3
706,接,jiē,动词,人际交往,to meet; to pick up; to receive,HSK 3.0 Level 3
707,街,jiē,名词,旅行与交通,street,HSK 3.0 Level 3
708,节,jié,量词,语法功能词,measure word for classes or festival holidays,HSK 3.0 Level 3
709,结婚,jiéhūn,动词,人际交往,to marry; to get married,HSK 3.0 Level 3
710,节目,jiémù,名词,消费与休闲,program; show,HSK 3.0 Level 3
711,节日,jiérì,名词,消费与休闲,festival; holiday,HSK 3.0 Level 3
712,结束,jiéshù,动词,职场与教育,to end; to finish,HSK 3.0 Level 3
713,解决,jiějué,动词,职场与教育,to solve; to settle,HSK 3.0 Level 3
714,姐妹,jiěmèi,名词,日常生活与情感,sisters,HSK 3.0 Level 3
715,借,jiè,动词,消费与休闲,to borrow; to lend,HSK 3.0 Level 3
716,斤,jīn,量词,语法功能词,jin (unit of weight equal to 0.5 kg),HSK 3.0 Level 3
717,经过,jīngguò,动词,旅行与交通,to pass; to go through; through,HSK 3.0 Level 3
718,经理,jīnglǐ,名词,职场与教育,manager,HSK 3.0 Level 3
719,久,jiǔ,形容词,日常生活与情感,for a long time; long,HSK 3.0 Level 3
720,酒,jiǔ,名词,消费与休闲,alcohol; wine; liquor,HSK 3.0 Level 3
721,旧,jiù,形容词,日常生活与情感,old; worn; past,HSK 3.0 Level 3
722,句,jù,量词,语法功能词,measure word for sentences or phrases,HSK 3.0 Level 3
723,句子,jùzi,名词,职场与教育,sentence,HSK 3.0 Level 3
724,决定,juédìng,动词,职场与教育,to decide; decision,HSK 3.0 Level 3
725,卡,kǎ,名词,消费与休闲,card,HSK 3.0 Level 3
726,开花,kāihuā,动词,科技与环境,to bloom; to blossom,HSK 3.0 Level 3
727,开会,kāihuì,动词,职场与教育,to attend a meeting; to hold a meeting,HSK 3.0 Level 3
728,开机,kāijī,动词,科技与环境,to boot up; to turn on a device,HSK 3.0 Level 3
729,开心,kāixīn,形容词,日常生活与情感,happy; joyful,HSK 3.0 Level 3
730,看来,kànlái,副词,语法功能词,it seems; apparently,HSK 3.0 Level 3
731,可,kě,副词,语法功能词,can; may; but,HSK 3.0 Level 3
732,渴,kě,形容词,日常生活与情感,thirsty,HSK 3.0 Level 3
733,可爱,kě'ài,形容词,日常生活与情感,cute; lovely; amiable,HSK 3.0 Level 3
734,可是,kěshì,连词,语法功能词,but; however,HSK 3.0 Level 3
735,刻,kè,量词,语法功能词,quarter (of an hour),HSK 3.0 Level 3
736,课本,kèběn,名词,职场与教育,textbook,HSK 3.0 Level 3
737,客人,kèrén,名词,人际交往,guest; visitor,HSK 3.0 Level 3
738,课文,kèwén,名词,职场与教育,text,HSK 3.0 Level 3
739,空调,kōngtiáo,名词,日常生活与情感,air conditioner,HSK 3.0 Level 3
740,哭,kū,动词,日常生活与情感,to cry; to weep,HSK 3.0 Level 3
741,筷子,kuàizi,名词,日常生活与情感,chopsticks,HSK 3.0 Level 3
742,矿泉水,kuàngquánshuǐ,名词,日常生活与情感,mineral water,HSK 3.0 Level 3
743,来自,láizì,动词,人际交往,to come from,HSK 3.0 Level 3
744,蓝,lán,形容词,日常生活与情感,blue,HSK 3.0 Level 3
745,老,lǎo,形容词,人际交往,old; aged,HSK 3.0 Level 3
746,老人,lǎorén,名词,人际交往,elderly people; senior citizens,HSK 3.0 Level 3
747,离开,líkāi,动词,旅行与交通,to leave; to depart,HSK 3.0 Level 3
748,礼物,lǐwù,名词,人际交往,gift; present,HSK 3.0 Level 3
749,历史,lìshǐ,名词,职场与教育,history,HSK 3.0 Level 3
750,脸,liǎn,名词,健康与运动,face,HSK 3.0 Level 3
751,练,liàn,动词,职场与教育,to practice; to drill,HSK 3.0 Level 3
752,练习,liànxí,动词,职场与教育,to practice; exercise,HSK 3.0 Level 3
753,凉快,liángkuai,形容词,科技与环境,cool; pleasantly cool,HSK 3.0 Level 3
754,辆,liàng,量词,语法功能词,measure word for vehicles,HSK 3.0 Level 3
755,聊,liáo,动词,人际交往,to chat; to talk,HSK 3.0 Level 3
756,聊天儿,liáotiānr,动词,人际交往,to chat,HSK 3.0 Level 3
757,了解,liǎojiě,动词,人际交往,to understand; to know about,HSK 3.0 Level 3
758,邻居,línjū,名词,人际交往,neighbor,HSK 3.0 Level 3
759,留学,liúxué,动词,职场与教育,to study abroad,HSK 3.0 Level 3
760,留学生,liúxuéshēng,名词,职场与教育,international student; foreign student,HSK 3.0 Level 3
761,楼梯,lóutī,名词,日常生活与情感,stairs; staircase,HSK 3.0 Level 3
762,路边,lùbiān,名词,旅行与交通,roadside; wayside,HSK 3.0 Level 3
763,路口,lùkǒu,名词,旅行与交通,intersection; crossing,HSK 3.0 Level 3
764,马,mǎ,名词,科技与环境,horse,HSK 3.0 Level 3
765,马路,mǎlù,名词,旅行与交通,street; road,HSK 3.0 Level 3
766,马上,mǎshàng,副词,语法功能词,immediately; at once,HSK 3.0 Level 3
767,满意,mǎnyì,形容词,日常生活与情感,satisfied; pleased,HSK 3.0 Level 3
768,毛,máo,量词,语法功能词,dime; ten cents; hair; fur,HSK 3.0 Level 3
769,米,mǐ,名词,旅行与交通,meter; rice,HSK 3.0 Level 3
770,面前,miànqián,名词,日常生活与情感,in front of; presence,HSK 3.0 Level 3
771,明白,míngbai,动词,职场与教育,to understand; clear,HSK 3.0 Level 3
772,名单,míngdān,名词,职场与教育,list of names; roll; roster,HSK 3.0 Level 3
773,名人,míngrén,名词,人际交往,celebrity; famous person,HSK 3.0 Level 3
774,南,nán,名词,旅行与交通,south,HSK 3.0 Level 3
775,难,nán,形容词,职场与教育,difficult; hard,HSK 3.0 Level 3
776,南方,nánfāng,名词,旅行与交通,south; southern region,HSK 3.0 Level 3
777,难过,nánguò,形容词,日常生活与情感,sad; hard to bear,HSK 3.0 Level 3
778,难看,nánkàn,形容词,日常生活与情感,ugly; unsightly,HSK 3.0 Level 3
779,男人,nánrén,名词,日常生活与情感,man; male,HSK 3.0 Level 3
780,男生,nánshēng,名词,人际交往,boy; male student,HSK 3.0 Level 3
781,难题,nántí,名词,职场与教育,difficult problem; puzzle,HSK 3.0 Level 3
782,难听,nántīng,形容词,日常生活与情感,unpleasant to hear; offensive,HSK 3.0 Level 3
783,年级,niánjí,名词,职场与教育,grade; year (in school),HSK 3.0 Level 3
784,年轻,niánqīng,形容词,日常生活与情感,young,HSK 3.0 Level 3
785,牛,niú,名词,科技与环境,cow; ox; bull,HSK 3.0 Level 3
786,努力,nǔlì,形容词,职场与教育,hardworking; diligent,HSK 3.0 Level 3
787,女人,nǚrén,名词,日常生活与情感,woman; female,HSK 3.0 Level 3
788,女生,nǚshēng,名词,人际交往,girl; female student,HSK 3.0 Level 3
789,爬,pá,动词,健康与运动,to climb; to crawl,HSK 3.0 Level 3
790,怕,pà,动词,日常生活与情感,to fear; to be afraid of,HSK 3.0 Level 3
791,拍照,pāizhào,动词,消费与休闲,to take a picture; to photography,HSK 3.0 Level 3
792,盘子,pánzi,名词,日常生活与情感,plate; tray,HSK 3.0 Level 3
793,胖,pàng,形容词,健康与运动,fat; plump,HSK 3.0 Level 3
794,啤酒,píjiǔ,名词,消费与休闲,beer,HSK 3.0 Level 3
795,平时,píngshí,名词,日常生活与情感,ordinarily; in normal times,HSK 3.0 Level 3
796,瓶子,píngzi,名词,日常生活与情感,bottle; flask,HSK 3.0 Level 3
797,骑,qí,动词,旅行与交通,"to ride (a bike, horse)",HSK 3.0 Level 3
798,奇怪,qíguài,形容词,日常生活与情感,strange; odd,HSK 3.0 Level 3
799,其实,qíshí,副词,语法功能词,actually; in fact,HSK 3.0 Level 3
800,其他,qítā,代词,语法功能词,other; else,HSK 3.0 Level 3
801,起,qǐ,动词,日常生活与情感,to rise; to get up,HSK 3.0 Level 3
802,起飞,qǐfēi,动词,旅行与交通,to take off (airplane),HSK 3.0 Level 3
803,汽车,qìchē,名词,旅行与交通,car; automobile,HSK 3.0 Level 3
804,铅笔,qiānbǐ,名词,职场与教育,pencil,HSK 3.0 Level 3
805,前年,qiánnián,名词,日常生活与情感,the year before last,HSK 3.0 Level 3
806,前天,qiántiān,名词,日常生活与情感,the day before yesterday,HSK 3.0 Level 3
807,清楚,qīngchu,形容词,人际交往,clear; distinct,HSK 3.0 Level 3
808,请假,qǐngjià,动词,职场与教育,to ask for leave,HSK 3.0 Level 3
809,请客,qǐngkè,动词,消费与休闲,to stand treat; to invite guests,HSK 3.0 Level 3
810,秋天,qiūtiān,名词,科技与环境,autumn; fall,HSK 3.0 Level 3
811,球场,qiúchǎng,名词,健康与运动,sports ground; court; field,HSK 3.0 Level 3
812,裙子,qúnzi,名词,日常生活与情感,skirt; dress,HSK 3.0 Level 3
813,然后,ránhòu,连词,语法功能词,then; afterwards,HSK 3.0 Level 3
814,热情,rèqíng,形容词,人际交往,enthusiastic; warm,HSK 3.0 Level 3
815,认得,rènde,动词,人际交往,to recognize; to know,HSK 3.0 Level 3
816,认为,rènwéi,动词,职场与教育,to think; to believe,HSK 3.0 Level 3
817,认真,rènzhēn,形容词,职场与教育,serious; conscientious,HSK 3.0 Level 3
818,容易,róngyì,形容词,职场与教育,easy; simple,HSK 3.0 Level 3
819,如果,rúguǒ,连词,语法功能词,if; in case,HSK 3.0 Level 3
820,伞,sǎn,名词,日常生活与情感,umbrella,HSK 3.0 Level 3
821,扫,sǎo,动词,日常生活与情感,to sweep; to clean,HSK 3.0 Level 3
822,沙发,shāfā,名词,日常生活与情感,sofa; couch,HSK 3.0 Level 3
823,山,shān,名词,科技与环境,mountain; hill,HSK 3.0 Level 3
824,上衣,shàngyī,名词,日常生活与情感,upper garment; coat; jacket,HSK 3.0 Level 3
825,勺子,sháozi,名词,日常生活与情感,spoon,HSK 3.0 Level 3
826,身边,shēnbiān,名词,日常生活与情感,at one's side; nearby,HSK 3.0 Level 3
827,身高,shēngāo,名词,健康与运动,height (of a person),HSK 3.0 Level 3
828,声,shēng,量词,语法功能词,measure word for sounds; sound,HSK 3.0 Level 3
829,生活,shēnghuó,名词,日常生活与情感,life; lifestyle; to live,HSK 3.0 Level 3
830,生气,shēngqì,动词,日常生活与情感,to get angry; angry,HSK 3.0 Level 3
831,声音,shēngyīn,名词,日常生活与情感,voice; sound,HSK 3.0 Level 3
832,市,shì,名词,旅行与交通,city; municipality,HSK 3.0 Level 3
833,试,shì,动词,职场与教育,to try; to test,HSK 3.0 Level 3
834,室,shì,名词,日常生活与情感,room; chamber,HSK 3.0 Level 3
835,世界,shìjiè,名词,科技与环境,world,HSK 3.0 Level 3
836,收,shōu,动词,人际交往,to receive; to accept; to collect,HSK 3.0 Level 3
837,收到,shōudào,动词,人际交往,to receive; to obtain,HSK 3.0 Level 3
838,受,shòu,动词,人际交往,to receive; to accept; to suffer,HSK 3.0 Level 3
839,瘦,shòu,形容词,健康与运动,thin; slim,HSK 3.0 Level 3
840,受到,shòudào,动词,人际交往,to receive; to suffer; to obtain,HSK 3.0 Level 3
841,叔叔,shūshu,名词,人际交往,uncle,HSK 3.0 Level 3
842,树,shù,名词,科技与环境,tree,HSK 3.0 Level 3
843,数学,shùxué,名词,职场与教育,mathematics; math,HSK 3.0 Level 3
844,刷,shuā,动词,健康与运动,to brush; to swipe,HSK 3.0 Level 3
845,双,shuāng,量词,语法功能词,pair; couple,HSK 3.0 Level 3
846,水平,shuǐpíng,名词,职场与教育,level; standard,HSK 3.0 Level 3
847,司机,sījī,名词,旅行与交通,driver,HSK 3.0 Level 3
848,四季,sìjì,名词,科技与环境,four seasons,HSK 3.0 Level 3
849,太阳,tàiyáng,名词,科技与环境,sun,HSK 3.0 Level 3
850,糖,táng,名词,日常生活与情感,sugar; candy,HSK 3.0 Level 3
851,特别,tèbié,副词,语法功能词,especially; special,HSK 3.0 Level 3
852,提高,tígāo,动词,职场与教育,to improve; to raise,HSK 3.0 Level 3
853,体育,tǐyù,名词,健康与运动,physical education; sports,HSK 3.0 Level 3
854,体育馆,tǐyùguǎn,名词,健康与运动,gymnasium; gym,HSK 3.0 Level 3
855,甜,tián,形容词,日常生活与情感,sweet,HSK 3.0 Level 3
856,跳,tiào,动词,健康与运动,to jump; to leap,HSK 3.0 Level 3
857,听说,tīngshuō,动词,人际交往,to hear of; to be told,HSK 3.0 Level 3
858,挺,tǐng,副词,语法功能词,quite; rather; very,HSK 3.0 Level 3
859,同事,tóngshì,名词,职场与教育,colleague; co-worker,HSK 3.0 Level 3
860,同意,tóngyì,动词,职场与教育,to agree; to consent,HSK 3.0 Level 3
861,头发,tóufa,名词,健康与运动,hair,HSK 3.0 Level 3
862,突然,tūrán,形容词,日常生活与情感,sudden; unexpected; suddenly,HSK 3.0 Level 3
863,图书馆,túshūguǎn,名词,职场与教育,library,HSK 3.0 Level 3
864,腿,tuǐ,名词,健康与运动,leg,HSK 3.0 Level 3
865,外地,wàidì,名词,旅行与交通,places other than local; elsewhere,HSK 3.0 Level 3
866,外卖,wàimài,名词,消费与休闲,takeout; food delivery,HSK 3.0 Level 3
867,外语,wàiyǔ,名词,职场与教育,foreign language,HSK 3.0 Level 3
868,完成,wánchéng,动词,职场与教育,to complete; to accomplish,HSK 3.0 Level 3
869,碗,wǎn,名词,日常生活与情感,bowl,HSK 3.0 Level 3
870,晚点,wǎndiǎn,动词,旅行与交通,to be delayed (train or flight); late,HSK 3.0 Level 3
871,晚会,wǎnhuì,名词,消费与休闲,evening party; gala,HSK 3.0 Level 3
872,网球,wǎngqiú,名词,健康与运动,tennis,HSK 3.0 Level 3
873,网站,wǎngzhàn,名词,科技与环境,website,HSK 3.0 Level 3
874,忘记,wàngjì,动词,日常生活与情感,to forget,HSK 3.0 Level 3
875,为,wèi,介词,语法功能词,for; because of,HSK 3.0 Level 3
876,为了,wèile,介词,语法功能词,for; for the sake of; in order to,HSK 3.0 Level 3
877,卫生间,wèishēngjiān,名词,日常生活与情感,restroom; toilet,HSK 3.0 Level 3
878,文化,wénhuà,名词,职场与教育,culture; civilization,HSK 3.0 Level 3
879,屋子,wūzi,名词,日常生活与情感,room; house,HSK 3.0 Level 3
880,西,xī,名词,旅行与交通,west,HSK 3.0 Level 3
881,西北,xīběi,名词,旅行与交通,northwest,HSK 3.0 Level 3
882,西方,xīfāng,名词,旅行与交通,the West; western countries,HSK 3.0 Level 3
883,西瓜,xīguā,名词,日常生活与情感,watermelon,HSK 3.0 Level 3
884,西南,xīnán,名词,旅行与交通,southwest,HSK 3.0 Level 3
885,习惯,xíguàn,动词,日常生活与情感,to be used to; habit,HSK 3.0 Level 3
886,喜爱,xǐ'ài,动词,日常生活与情感,to love; to like; favorite,HSK 3.0 Level 3
887,洗衣机,xǐyījī,名词,日常生活与情感,washing machine,HSK 3.0 Level 3
888,洗澡,xǐzǎo,动词,健康与运动,to take a bath; to shower,HSK 3.0 Level 3
889,夏天,xiàtiān,名词,科技与环境,summer,HSK 3.0 Level 3
890,先,xiān,副词,语法功能词,first; beforehand,HSK 3.0 Level 3
891,香蕉,xiāngjiāo,名词,日常生活与情感,banana,HSK 3.0 Level 3
892,相信,xiāngxìn,动词,人际交往,to believe; to trust,HSK 3.0 Level 3
893,箱子,xiāngzi,名词,日常生活与情感,box; trunk; suitcase,HSK 3.0 Level 3
894,向,xiàng,介词,语法功能词,towards; to,HSK 3.0 Level 3
895,像,xiàng,动词,日常生活与情感,to look like; similar to,HSK 3.0 Level 3
896,相机,xiàngjī,名词,消费与休闲,camera,HSK 3.0 Level 3
897,小区,xiǎoqū,名词,日常生活与情感,residential community; neighborhood,HSK 3.0 Level 3
898,小心,xiǎoxīn,形容词,健康与运动,careful; cautious,HSK 3.0 Level 3
899,校园,xiàoyuán,名词,职场与教育,campus; schoolyard,HSK 3.0 Level 3
900,校长,xiàozhǎng,名词,职场与教育,principal; headmaster,HSK 3.0 Level 3
901,鞋,xié,名词,日常生活与情感,shoes,HSK 3.0 Level 3
902,心里,xīnlǐ,名词,日常生活与情感,in one's heart/mind; mentally,HSK 3.0 Level 3
903,新年,xīnnián,名词,日常生活与情感,New Year,HSK 3.0 Level 3
904,新闻,xīnwén,名词,科技与环境,news,HSK 3.0 Level 3
905,新鲜,xīnxiān,形容词,科技与环境,fresh,HSK 3.0 Level 3
906,信,xìn,名词,人际交往,letter; mail,HSK 3.0 Level 3
907,信用卡,xìnyòngkǎ,名词,消费与休闲,credit card,HSK 3.0 Level 3
908,行,xíng,动词,人际交往,to be okay; to be alright; to walk,HSK 3.0 Level 3
909,行李,xíngli,名词,旅行与交通,luggage; baggage,HSK 3.0 Level 3
910,兴趣,xìngqù,名词,消费与休闲,interest; hobby,HSK 3.0 Level 3
911,休假,xiūjià,动词,职场与教育,to take a vacation; on leave,HSK 3.0 Level 3
912,需要,xūyào,动词,日常生活与情感,to need; to require,HSK 3.0 Level 3
913,选,xuǎn,动词,职场与教育,to choose; to select,HSK 3.0 Level 3
914,选择,xuǎnzé,动词,职场与教育,to choose; to select; choice,HSK 3.0 Level 3
915,学期,xuéqī,名词,职场与教育,semester; term,HSK 3.0 Level 3
916,牙,yá,名词,健康与运动,tooth,HSK 3.0 Level 3
917,牙刷,yáshuā,名词,日常生活与情感,toothbrush,HSK 3.0 Level 3
918,羊,yáng,名词,科技与环境,sheep; goat,HSK 3.0 Level 3
919,养,yǎng,动词,日常生活与情感,to raise; to breed; to support,HSK 3.0 Level 3
920,要求,yāoqiú,名词,职场与教育,requirement; demand; to request,HSK 3.0 Level 3
921,页,yè,量词,语法功能词,page; leaf,HSK 3.0 Level 3
922,一定,yídìng,副词,语法功能词,definitely; certainly,HSK 3.0 Level 3
923,一共,yígòng,副词,语法功能词,altogether; in total,HSK 3.0 Level 3
924,一块儿,yíkuàir,副词,语法功能词,together; in the same place,HSK 3.0 Level 3
925,一样,yíyàng,形容词,日常生活与情感,same; alike,HSK 3.0 Level 3
926,以后,yǐhòu,名词,日常生活与情感,after; afterwards; later,HSK 3.0 Level 3
927,以前,yǐqián,名词,日常生活与情感,before; formerly,HSK 3.0 Level 3
928,以上,yǐshàng,名词,语法功能词,above; more than; the above-mentioned,HSK 3.0 Level 3
929,以外,yǐwài,名词,语法功能词,except; outside of; other than,HSK 3.0 Level 3
930,以为,yǐwéi,动词,日常生活与情感,to think (mistakenly); to assume,HSK 3.0 Level 3
931,以下,yǐxià,名词,语法功能词,below; under; the following,HSK 3.0 Level 3
932,一般,yìbān,形容词,日常生活与情感,general; ordinary; usually,HSK 3.0 Level 3
933,一边,yìbiān,副词,语法功能词,simultaneously; on one side,HSK 3.0 Level 3
934,一直,yìzhí,副词,语法功能词,straight; continuously; always,HSK 3.0 Level 3
935,音乐,yīnyuè,名词,消费与休闲,music,HSK 3.0 Level 3
936,银行,yínháng,名词,消费与休闲,bank,HSK 3.0 Level 3
937,银行卡,yínhángkǎ,名词,消费与休闲,bank card,HSK 3.0 Level 3
938,饮料,yǐnliào,名词,日常生活与情感,beverage; drink,HSK 3.0 Level 3
939,应该,yīnggāi,动词,语法功能词,should; ought to,HSK 3.0 Level 3
940,影响,yǐngxiǎng,动词,人际交往,to influence; to affect; impact,HSK 3.0 Level 3
941,用,yòng,动词,日常生活与情感,to use,HSK 3.0 Level 3
942,邮件,yóujiàn,名词,职场与教育,mail; email,HSK 3.0 Level 3
943,游客,yóukè,名词,旅行与交通,tourist; visitor,HSK 3.0 Level 3
944,游戏,yóuxì,名词,消费与休闲,game; play,HSK 3.0 Level 3
945,邮箱,yóuxiāng,名词,科技与环境,mailbox; postbox; email inbox,HSK 3.0 Level 3
946,有关,yǒuguān,动词,语法功能词,related to; regarding; concerned,HSK 3.0 Level 3
947,有名,yǒumíng,形容词,消费与休闲,famous; well-known,HSK 3.0 Level 3
948,有用,yǒuyòng,形容词,职场与教育,useful; helpful,HSK 3.0 Level 3
949,又,yòu,副词,语法功能词,again; moreover,HSK 3.0 Level 3
950,羽毛球,yǔmáoqiú,名词,健康与运动,badminton,HSK 3.0 Level 3
951,语言,yǔyán,名词,职场与教育,language,HSK 3.0 Level 3
952,雨衣,yǔyī,名词,日常生活与情感,raincoat,HSK 3.0 Level 3
953,遇到,yùdào,动词,人际交往,to meet; to run into; to encounter,HSK 3.0 Level 3
954,遇见,yùjiàn,动词,人际交往,to meet; to run into,HSK 3.0 Level 3
955,园,yuán,名词,消费与休闲,garden; park; yard,HSK 3.0 Level 3
956,员,yuán,名词,人际交往,member; staff member,HSK 3.0 Level 3
957,愿意,yuànyì,动词,语法功能词,to be willing; to wish,HSK 3.0 Level 3
958,越,yuè,副词,语法功能词,more; to exceed,HSK 3.0 Level 3
959,月亮,yuèliang,名词,科技与环境,moon,HSK 3.0 Level 3
960,运动会,yùndònghuì,名词,健康与运动,sports meet; athletic meeting,HSK 3.0 Level 3
961,运动员,yùndòngyuán,名词,健康与运动,athlete; player,HSK 3.0 Level 3
962,咱们,zánmen,代词,语法功能词,we; us (inclusive of speaker and listener),HSK 3.0 Level 3
963,脏,zāng,形容词,日常生活与情感,dirty; filthy,HSK 3.0 Level 3
964,怎么办,zěnmebàn,动词,日常生活与情感,what to do; how to handle,HSK 3.0 Level 3
965,怎样,zěnyàng,代词,语法功能词,how; what kind,HSK 3.0 Level 3
966,站,zhàn,动词,旅行与交通,to stand; station; stop,HSK 3.0 Level 3
967,张,zhāng,量词,语法功能词,(measure word for flat objects); piece,HSK 3.0 Level 3
968,长,zhǎng,动词,日常生活与情感,to grow; to develop,HSK 3.0 Level 3
969,着急,zháojí,形容词,日常生活与情感,anxious; worried,HSK 3.0 Level 3
970,照,zhào,动词,日常生活与情感,to shine; to photograph; according to,HSK 3.0 Level 3
971,照顾,zhàogù,动词,人际交往,to look after; to take care of,HSK 3.0 Level 3
972,照片,zhàopiàn,名词,消费与休闲,photo; picture,HSK 3.0 Level 3
973,照相,zhàoxiàng,动词,消费与休闲,to take a photo,HSK 3.0 Level 3
974,直到,zhídào,介词,语法功能词,until; up to,HSK 3.0 Level 3
975,只,zhǐ,副词,语法功能词,only; merely,HSK 3.0 Level 3
976,纸,zhǐ,名词,日常生活与情感,paper,HSK 3.0 Level 3
977,只能,zhǐnéng,副词,语法功能词,can only,HSK 3.0 Level 3
978,只是,zhǐshì,连词,语法功能词,only; merely; just; but,HSK 3.0 Level 3
979,只要,zhǐyào,连词,语法功能词,as long as; provided that,HSK 3.0 Level 3
980,只有,zhǐyǒu,连词,语法功能词,only if; only,HSK 3.0 Level 3
981,中,zhōng,名词,语法功能词,middle; in; center,HSK 3.0 Level 3
982,中间,zhōngjiān,名词,日常生活与情感,middle; center,HSK 3.0 Level 3
983,终于,zhōngyú,副词,语法功能词,finally; at last,HSK 3.0 Level 3
984,种,zhǒng,量词,语法功能词,kind; type; sort,HSK 3.0 Level 3
985,重要,zhòngyào,形容词,职场与教育,important; significant,HSK 3.0 Level 3
986,周末,zhōumò,名词,消费与休闲,weekend,HSK 3.0 Level 3
987,主要,zhǔyào,形容词,语法功能词,main; principal; chief,HSK 3.0 Level 3
988,注意,zhùyì,动词,健康与运动,to pay attention to; to note,HSK 3.0 Level 3
989,住院,zhùyuàn,动词,健康与运动,to be hospitalized; in hospital,HSK 3.0 Level 3
990,字典,zìdiǎn,名词,职场与教育,dictionary,HSK 3.0 Level 3
991,自行车,zìxíngchē,名词,旅行与交通,bicycle; bike,HSK 3.0 Level 3
992,子,zi,后缀,语法功能词,(noun suffix),HSK 3.0 Level 3
993,总,zǒng,副词,语法功能词,always; general; chief,HSK 3.0 Level 3
994,总是,zǒngshì,副词,语法功能词,always,HSK 3.0 Level 3
995,嘴,zuǐ,名词,健康与运动,mouth,HSK 3.0 Level 3
996,最好,zuìhǎo,副词,语法功能词,had better; best,HSK 3.0 Level 3
997,最后,zuìhòu,名词,语法功能词,finally; last; at last,HSK 3.0 Level 3
998,最近,zuìjìn,名词,日常生活与情感,recently; lately,HSK 3.0 Level 3
999,做客,zuòkè,动词,人际交往,to be a guest; to visit,HSK 3.0 Level 3
1000,作业,zuòyè,名词,职场与教育,homework; school assignment,HSK 3.0 Level 3
1001,啊,ā,助词,语法功能词,"(modal particle expressing affirmation, exclamation, or irritation)",New HSK Level 4
1002,爱情,àiqíng,名词,日常生活与情感,love; romance,New HSK Level 4
1003,爱心,àixīn,名词,日常生活与情感,love; compassion; kindness,New HSK Level 4
1004,安检,ānjiǎn,名词,旅行与交通,security check,New HSK Level 4
1005,安排,ānpái,动词,职场与教育,to arrange; to plan; arrangement,New HSK Level 4
1006,按,àn,介词,语法功能词,according to; to press,New HSK Level 4
1007,按时,ànshí,副词,语法功能词,on time; on schedule,New HSK Level 4
1008,按照,ànzhào,介词,语法功能词,according to; in accordance with,New HSK Level 4
1009,白酒,báijiǔ,名词,日常生活与情感,Chinese spirits; liquor,New HSK Level 4
1010,办公,bàngōng,动词,职场与教育,to handle official business; to work (in an office),New HSK Level 4
1011,办理,bànlǐ,动词,职场与教育,to handle; to process; to conduct,New HSK Level 4
1012,办事,bànshì,动词,职场与教育,to handle affairs; to do business,New HSK Level 4
1013,棒,bàng,形容词,日常生活与情感,excellent; great; wonderful,New HSK Level 4
1014,保护,bǎohù,动词,科技与环境,to protect; to defend; protection,New HSK Level 4
1015,保证,bǎozhèng,动词,职场与教育,to guarantee; to ensure; pledge,New HSK Level 4
1016,抱,bào,动词,日常生活与情感,to hug; to hold in arms,New HSK Level 4
1017,报考,bàokǎo,动词,职场与教育,to register for an examination,New HSK Level 4
1018,报名,bàomíng,动词,职场与教育,to sign up; to register,New HSK Level 4
1019,抱歉,bàoqiàn,形容词,人际交往,sorry; apologetic,New HSK Level 4
1020,背,bēi,动词,日常生活与情感,to carry on the back; to memorize,New HSK Level 4
1021,背包,bēibāo,名词,日常生活与情感,backpack; knapsack,New HSK Level 4
1022,北部,běibù,名词,旅行与交通,northern part; north,New HSK Level 4
1023,倍,bèi,量词,语法功能词,times; -fold,New HSK Level 4
1024,本科,běnkē,名词,职场与教育,undergraduate education,New HSK Level 4
1025,本来,běnlái,副词,语法功能词,originally; at first; natural,New HSK Level 4
1026,笨,bèn,形容词,日常生活与情感,stupid; foolish; clumsy,New HSK Level 4
1027,鼻子,bízi,名词,健康与运动,nose,New HSK Level 4
1028,笔试,bǐshì,名词,职场与教育,written examination,New HSK Level 4
1029,毕业,bìyè,动词,职场与教育,to graduate,New HSK Level 4
1030,毕业生,bìyèshēng,名词,职场与教育,graduate (from a school),New HSK Level 4
1031,便于,biànyú,动词,语法功能词,to be easy to; convenient for,New HSK Level 4
1032,标准,biāozhǔn,名词,职场与教育,standard; criterion,New HSK Level 4
1033,表,biǎo,名词,日常生活与情感,meter; watch; chart; table,New HSK Level 4
1034,表格,biǎogé,名词,职场与教育,form; table; chart,New HSK Level 4
1035,表示,biǎoshì,动词,人际交往,to express; to show; expression,New HSK Level 4
1036,表现,biǎoxiàn,动词,职场与教育,to show; to display; performance,New HSK Level 4
1037,表扬,biǎoyáng,动词,职场与教育,to praise; to commend,New HSK Level 4
1038,饼干,bǐnggān,名词,日常生活与情感,biscuit; cookie,New HSK Level 4
1039,并,bìng,副词,语法功能词,actually; (not) at all; and,New HSK Level 4
1040,并且,bìngqiě,连词,语法功能词,and; besides; moreover,New HSK Level 4
1041,播放,bōfàng,动词,科技与环境,to broadcast; to play (media),New HSK Level 4
1042,博士,bóshì,名词,职场与教育,doctor; PhD,New HSK Level 4
1043,不必,búbì,副词,语法功能词,need not; not have to,New HSK Level 4
1044,不便,búbiàn,形容词,日常生活与情感,inconvenient; inappropriate,New HSK Level 4
